"","accession_name","root_weight","starch_content","height_first_branch","trial_name"
"81","VH21-0170",6.151,NA,145.975,"2022DMF1C_tani"
"82","VH21-0172",6.993,15.069,196.241,"2022DMF1C_tani"
"83","VH21-0176",6.083,16.082,149.986,"2022DMF1C_tani"
"84","VH21-0193",5.597,NA,115.925,"2022DMF1C_tani"
"85","VH21-0200",5.691,12.539,110.665,"2022DMF1C_tani"
"86","VH21-0201",8.517,16.925,172.428,"2022DMF1C_tani"
"87","VH21-0203",6.341,18.993,167.983,"2022DMF1C_tani"
"88","VH21-0212",5.245,NA,126.06,"2022DMF1C_tani"
"89","VH21-0215",4.077,NA,208.768,"2022DMF1C_tani"
"90","VH21-0286",8.601,21.454,130.993,"2022DMF1C_tani"
"91","VH21-0295",5.92,16.524,192.061,"2022DMF1C_tani"
"92","VH21-0371",7.085,21.657,200.08,"2022DMF1C_tani"
"93","VH21-0402",7.772,19.141,160.814,"2022DMF1C_tani"
"94","VH21-0421",5.016,NA,232.228,"2022DMF1C_tani"
"95","VH21-0425",5.941,17.365,131.383,"2022DMF1C_tani"
"96","VH21-0426",4.95,NA,141.831,"2022DMF1C_tani"
"97","VH21-0427",6.836,17.442,203.425,"2022DMF1C_tani"
"98","VH21-0428",4.57,NA,215.478,"2022DMF1C_tani"
"99","VH21-0429",5.189,NA,204.736,"2022DMF1C_tani"
"100","VH21-0432",5.143,NA,174.962,"2022DMF1C_tani"
"101","VH21-0436",5.246,NA,159.521,"2022DMF1C_tani"
"102","VH21-0437",5.064,14.689,156.92,"2022DMF1C_tani"
"103","VH21-0438",5.508,NA,153.362,"2022DMF1C_tani"
"104","VH21-0439",6.264,15.221,204.201,"2022DMF1C_tani"
"105","VH21-0441",6.398,20.235,183.261,"2022DMF1C_tani"
"106","VH21-0442",7.18,NA,130.344,"2022DMF1C_tani"
"107","VH21-0444",5.776,NA,158.452,"2022DMF1C_tani"
"108","VH21-0446",4.791,NA,169.85,"2022DMF1C_tani"
"109","VH21-0447",6.95,19.704,185.45,"2022DMF1C_tani"
"110","VH21-0448",7.382,14.78,149.894,"2022DMF1C_tani"
"111","VH21-0450",5.787,NA,141.082,"2022DMF1C_tani"
"112","VH21-0451",5.621,NA,145.593,"2022DMF1C_tani"
"113","VH21-0457",4.232,NA,154.849,"2022DMF1C_tani"
"114","VH21-0459",4.725,NA,206.653,"2022DMF1C_tani"
"115","VH21-0473",4.424,NA,200.877,"2022DMF1C_tani"
"116","VH21-0476",5.595,NA,155.399,"2022DMF1C_tani"
"117","VH21-0480",4.72,NA,178.615,"2022DMF1C_tani"
"118","VH21-0481",8.722,NA,139.224,"2022DMF1C_tani"
"119","VH21-0486",5.416,NA,249.124,"2022DMF1C_tani"
"120","VH21-0500",7.259,13.68,194.859,"2022DMF1C_tani"
"121","VH21-0501",5.728,NA,165.109,"2022DMF1C_tani"
"122","VH21-0503",6.22,11.553,146.91,"2022DMF1C_tani"
"123","VH21-0508",7.236,NA,145.708,"2022DMF1C_tani"
"124","VH21-0509",4.244,NA,248.574,"2022DMF1C_tani"
"125","VH21-0518",5.429,NA,194.865,"2022DMF1C_tani"
"126","VH21-0520",4.455,NA,203.655,"2022DMF1C_tani"
"127","VH21-0526",4.922,NA,171.54,"2022DMF1C_tani"
"128","VH21-0528",6.502,12.455,150.719,"2022DMF1C_tani"
"129","VH21-0529",5.114,21.749,213.989,"2022DMF1C_tani"
"130","VH21-0531",3.187,NA,194.369,"2022DMF1C_tani"
"131","VH21-0539",4.804,NA,200.124,"2022DMF1C_tani"
"132","VH21-0550",4.731,NA,214.093,"2022DMF1C_tani"
"133","VH21-0577",3.539,NA,146.856,"2022DMF1C_tani"
"134","VH21-0600",7.956,25.701,171.27,"2022DMF1C_tani"
"135","VH21-0613",4.803,21.636,208.992,"2022DMF1C_tani"
"136","VH21-0615",4.784,NA,209.565,"2022DMF1C_tani"
"137","VH21-0674",7.096,21.038,136.767,"2022DMF1C_tani"
"138","VH21-0681",5.902,NA,212.888,"2022DMF1C_tani"
"139","VH21-0682",5.391,19.756,216.384,"2022DMF1C_tani"
"140","VH21-0708",5.389,NA,214.081,"2022DMF1C_tani"
"141","VH21-0737",5.484,NA,238.048,"2022DMF1C_tani"
"142","VH21-0739",4.97,NA,136.74,"2022DMF1C_tani"
"143","VH21-0774",4.436,NA,159.792,"2022DMF1C_tani"
"144","VH21-0775",7.291,21.789,178.607,"2022DMF1C_tani"
"145","VH21-0779",9.243,NA,127.03,"2022DMF1C_tani"
"146","VH21-0789",5.084,NA,239.375,"2022DMF1C_tani"
"147","VH21-0893",5.215,NA,189.17,"2022DMF1C_tani"
"148","VH21-0905",6.958,18.635,136.197,"2022DMF1C_tani"
"149","VH21-0946",5.433,NA,150.282,"2022DMF1C_tani"
"150","VH21-0957",4.591,NA,187.393,"2022DMF1C_tani"
"151","VH21-0988",4.91,NA,178.602,"2022DMF1C_tani"
"152","VH21-1041",6.068,18.579,199.967,"2022DMF1C_tani"
"153","VH21-1069",5.971,NA,196.026,"2022DMF1C_tani"
"154","VH21-1081",5.034,NA,171.553,"2022DMF1C_tani"
"155","VH21-1086",5.235,NA,137.26,"2022DMF1C_tani"
"156","VH21-1087",7.637,19.745,155.618,"2022DMF1C_tani"
"157","VH21-1088",6.716,19.649,186.49,"2022DMF1C_tani"
"158","VH21-1093",5.19,NA,182.905,"2022DMF1C_tani"
"159","VH21-1094",9.115,19.818,150.715,"2022DMF1C_tani"
"160","VH21-1116",4.833,NA,168.267,"2022DMF1C_tani"
"161","VH21-1129",5.527,20.362,138.722,"2022DMF1C_tani"
"162","VH21-1138",5.775,23.006,149.906,"2022DMF1C_tani"
"163","VH21-1139",6.158,NA,134.863,"2022DMF1C_tani"
"164","VH21-1140",6.968,20.629,203.085,"2022DMF1C_tani"
"165","VH21-1144",5.616,NA,171.463,"2022DMF1C_tani"
"166","VH21-1145",6.946,NA,171.229,"2022DMF1C_tani"
"167","VH21-1147",3.833,NA,153.698,"2022DMF1C_tani"
"168","VH21-1090",NA,22.251,NA,"2022DMF1C_tani"
"169","VF21-0002",NA,NA,152.404,"2022DMF1C_tani"
"170","VF21-0187",NA,NA,187.413,"2022DMF1C_tani"
"171","VH21-0061",NA,NA,204.528,"2022DMF1C_tani"
"172","VH21-0074",NA,NA,148.183,"2022DMF1C_tani"
"173","VH21-0084",NA,NA,145.395,"2022DMF1C_tani"
"174","VH21-0110",NA,NA,143.11,"2022DMF1C_tani"
"175","VH21-0197",NA,NA,116.915,"2022DMF1C_tani"
"176","VH21-0204",NA,NA,178.341,"2022DMF1C_tani"
"177","VH21-0375",NA,NA,153.6,"2022DMF1C_tani"
"178","VH21-0420",NA,NA,189.341,"2022DMF1C_tani"
"179","VH21-0422",NA,NA,185.799,"2022DMF1C_tani"
"180","VH21-0460",NA,NA,148.434,"2022DMF1C_tani"
"181","VH21-0487",NA,NA,152.837,"2022DMF1C_tani"
"182","VH21-0502",NA,NA,136.089,"2022DMF1C_tani"
"183","VH21-0563",NA,NA,189.838,"2022DMF1C_tani"
"184","VH21-0628",NA,NA,210.318,"2022DMF1C_tani"
"185","VH21-0703",NA,NA,155.501,"2022DMF1C_tani"
"186","VH21-0754",NA,NA,147.071,"2022DMF1C_tani"
"187","VH21-0780",NA,NA,165.063,"2022DMF1C_tani"
"188","VH21-0859",NA,NA,181.209,"2022DMF1C_tani"
"189","CR24-16",4.269,NA,225.12,"2022DMF1C_dona"
"190","IBA980581",9.001,22.552,118.431,"2022DMF1C_dona"
"191","KM505",9.68,31.839,318.363,"2022DMF1C_dona"
"192","KU50",9.683,25.932,323.619,"2022DMF1C_dona"
"193","TMEB419",12.425,29.019,362.259,"2022DMF1C_dona"
"194","VF21-0002",10.394,26.143,205.353,"2022DMF1C_dona"
"195","VF21-0005",10.174,27.581,288.203,"2022DMF1C_dona"
"196","VF21-0009",7.736,23.758,210.996,"2022DMF1C_dona"
"197","VF21-0012",7.918,22.757,270.571,"2022DMF1C_dona"
